"カテゴリ","品目","品目（かな）"
"野菜","赤じそ","あかじそ"
"野菜","あしたば","あしたば"
"野菜","アスパラガス","あすぱらがす"
"野菜","青じそ","あおじそ"
"野菜","アーティチョーク","あーてぃちょーく"
"野菜","うど","うど"
"野菜","エシャロット","えしゃろっと"
"野菜","枝豆","えだまめ"
"野菜","えのきたけ","えのきたけ"
"野菜","エリンギ","えりんぎ"
"野菜","おかひじき","おかひじき"
"野菜","オクラ","おくら"
"野菜","かいわれ大根","かいわれだいこん"
"野菜","かぶ","かぶ"
"野菜","かぼちゃ","かぼちゃ"
"野菜","からし菜","からしな"
"野菜","カリフラワー","かりふらわー"
"野菜","きくいも","きくいも"
"野菜","きくらげ","きくらげ"
"野菜","キャベツ","きゃべつ"
"野菜","きゅうり","きゅうり"
"野菜","空心菜","くうしんさい"
"野菜","グリーンピース","ぐりーんぴーす"
"野菜","クレソン","くれそん"
"野菜","くわい","くわい"
"野菜","ごぼう","ごぼう"
"野菜","小松菜","こまつな"
"野菜","ゴーヤ","ごーや"
"野菜","コールラビ","こーるらび"
"野菜","さつまいも","さつまいも"
"野菜","さといも","さといも"
"野菜","さやいんげん","さやいんげん"
"野菜","さやえんどう","さやえんどう"
"野菜","しいたけ","しいたけ"
"野菜","ししとう","ししとう"
"野菜","しめじ","しめじ"
"野菜","じゃがいも","じゃがいも"
"野菜","春菊","しゅんぎく"
"野菜","しょうが","しょうが"
"野菜","食用菊","しょくようぎく"
"野菜","スティックセニョール","すてぃっくせにょーる"
"野菜","ズッキーニ","ずっきーに"
"野菜","セリ","せり"
"野菜","セロリ","せろり"
"野菜","そらまめ","そらまめ"
"野菜","タアサイ","たあさい"
"野菜","大根","だいこん"
"野菜","たけのこ","たけのこ"
"野菜","玉ねぎ","たまねぎ"
"野菜","チコリー","ちこりー"
"野菜","チンゲンサイ","ちんげんさい"
"野菜","つるむらさき","つるむらさき"
"野菜","トウガラシ","とうがらし"
"野菜","冬瓜","とうがん"
"野菜","とうもろこし","とうもろこし"
"野菜","トマト","とまと"
"野菜","トレビス","とれびす"
