Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / 日本,Price / 日本,Compare At Price / 日本,Included / 国際,Price / 国際,Compare At Price / 国際,Status
7-8月限定-無農薬ブルーベリー-400g-箱,【7-8月限定 !!】無農薬ブルーベリー　大崎上島産,,瀬戸内大崎上島農園,食品・飲料 > 食品,農産物,"おすすめ商品, ギフト・贈りもの, 季節の食材, 新着商品, 贈答品, 農産物",FALSE,Size,400g,,,,,箱,0,,deny,manual,1600,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/1.jpg?v=1688476543,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
こだわりのハウス栽培-瀬戸内グリーンレモン,【こだわりの減農薬栽培】瀬戸内グリーンレモン（ワックス・防腐剤不使用）,,一房の彩り,,,"季節の柑橘, 季節の食材, 新着商品, 新着商品表示",TRUE,Size,2kg,,,,,箱,2000,,deny,manual,3000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/IMG_9161.heic?v=1697199066,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
ギフトに最適-大崎上島レモンケーキ-ナチュールシトロン-5個入り,【ギフトに最適】大崎上島レモンケーキ「ナチュールシトロン（5個入り）」,,瀬戸内大崎上島農園,食品・飲料,,"おすすめ商品, ギフト・贈りもの, 加工品, 加工食品, 新着商品, 贈答品",FALSE,Title,Default Title,,,,,,0,,deny,manual,2000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/DSC00107.jpg?v=1680105559,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
シャリシャリほろ苦がクセになる-大崎上島産-紅八朔-４キロ,【シャリシャリほろ苦がクセになる！】大崎上島産　紅八朔,,瀬戸内大崎上島農園,,,"おすすめ商品, 季節の柑橘, 農産物",FALSE,サイズ,5キロ,,,,,,0,shopify,deny,manual,3000,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/DSC03167-2.jpg?v=1680106082,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
ジューシーな瀬戸内の宝物-大崎上島産レモンピューレ-鮮度抜群-長期保存可能-使いやすいスパウト容器タイプ,【ジューシーな瀬戸内の宝物】大崎上島産レモンピューレ　鮮度抜群　長期保存可能　使いやすいスパウト容器タイプ,,瀬戸内大崎上島農園,食品・飲料 > 食品 > 調理材料・製菓材料 > レモン果汁、ライム果汁,,"おすすめ商品, その他, 加工品, 加工食品, 新着商品",TRUE,容量,400g×3本,,,,,,0,shopify,deny,manual,10800,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/image_17886617-5ae5-461a-b426-fc1c340e63d6.jpg?v=1687798346,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
予約商品-大崎上島産グリーンレモン-とにかく香りに癒されんさい-のコピー,【予約商品】「大崎上島産グリーンレモン」〜とにかく香りに癒されんさい〜,,一房の彩り,,農産物,"おすすめ商品, 季節の食材, 新着商品, 新着商品表示, 農産物",FALSE,内容量,2キロ,,,,,,2000,,deny,manual,2800,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/unnamed_1_a5291f29-038c-4c8f-ab8a-a16a5e8a56c5.jpg?v=1695276263,1,大崎上島産グリーンレモン,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
贈答用-大粒シャインマスカット-山梨県産,【予約販売】山梨県産　樹上完熟の極上シャインマスカット「山昭農園」,,山昭農園,食品・飲料 > 食品,農産物,"おすすめ商品, ぶどう, ギフト・贈りもの, シャインマスカット, 季節の食材, 山梨県, 新着商品, 新鮮, 旬の果物, 贈答品, 農産物",FALSE,サイズ,1㎏以上（2房）,,,,,,0,shopify,deny,manual,6900,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/11_9f84f0d7-399a-4b62-a6a2-3a5756f931e4.jpg?v=1693396099,1,,FALSE,,,,,,,,,,,,,,,kg,,5590,TRUE,,,TRUE,,,draft
予約販売-山梨県産-樹上完熟の極上シャインマスカット-山昭農園-贈答用,【予約販売】山梨県産　樹上完熟の極上シャインマスカット「山昭農園」【贈答用】,,一房の彩り,,,"おすすめ商品, ぶどう, ギフト・贈りもの, シャインマスカット, 季節の食材, 山梨県, 新着商品, 新着商品表示, 新鮮, 旬の果物, 贈答品, 農産物",FALSE,サイズ,約2㎏(3〜4房),,,,,'2,0,,deny,manual,8800,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/files/11_e5519c86-e05a-402c-8383-003d44bd5bce.jpg?v=1693009232,1,,FALSE,,,,,,,,,,,,,,,kg,,6560,TRUE,,,TRUE,,,draft
初夏の爽やかセット-大崎上島産-甘夏-4キロ-大崎上島産レモン1キロ,【初夏の爽やかセット】大崎上島産「甘夏」4キロ　大崎上島産レモン1キロ,,瀬戸内大崎上島農園,,,季節の柑橘,FALSE,Title,Default Title,,,,,,5000,shopify,deny,manual,2500,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/IMG-1270.jpg?v=1650724864,1,,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,draft
百花はちみつ,【大崎上島の隠れた名産品生はちみつ！】無添加/非加熱「谷口さんの純粋蜂蜜」【120g】,,瀬戸内大崎上島農園,食品・飲料 > 食品,食品,"おすすめ商品, ギフト・贈りもの, 加工食品",TRUE,サイズ,1瓶,,,,,,0,shopify,deny,manual,1500,2000,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0593/3151/0447/products/E9E7DFE5-CD0B-4B07-8D8E-98BB36B118E7.jpg?v=1671372824,1,谷口さんの純粋蜂蜜,FALSE,,,,,,,,,,,,,,,kg,,,TRUE,,,TRUE,,,active
